StopID,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P,x,y
13040, , ,17,inbound,forward facing back of curb,sidewalk, ,1478837.095229259692132,521276.173519748146646
13060, , ,17,outbound,forward facing back of curb,sidewalk, ,1479375.978009753394872,519895.895112314668950
13070, ,Shelter,"17, 64x",inbound,forward facing back of curb,sidewalk, ,1480255.012340926798061,518614.133240165130701
13080,Bench, ,"17, 64x",outbound,forward facing back of curb,sidewalk, ,1480444.145820921985433,518234.083475322811864
13090,Bench, ,17,inbound,forward facing back of curb,sidewalk, ,1481630.900337166385725,517004.852666086924728
13095, , ,17,inbound,forward facing back of curb, , ,1482209.067816012538970,516338.833984989207238
13100, , ,17,inbound,forward facing back of curb, ,transfer point,1482675.080991588765755,515754.134038923075423
13110, , ,17,outbound,forward facing edge of pavement, ,transfer point,1482736.170436345739290,515520.110884912835900
13115, , ,17,outbound,forward facing edge of pavement, , ,1484369.094007753068581,513202.516438750026282
13150,Bench, ,2,inbound,forward facing edge of pavement, , ,1431872.122230252949521,555274.837805742048658
13190, , ,26,outbound,forward facing back of sidewalk,sidewalk, ,1447640.035248165717348,553031.042752670939080
13200, , ,26,inbound,forward facing back of curb,sidewalk, ,1447599.055343262385577,552963.009096080786549
13210, , ,26,outbound,forward facing back of sidewalk,sidewalk, ,1447851.063369431765750,553395.851406249217689
13230, , ,26,inbound,forward facing edge of pavement, , ,1447772.897187181981280,553303.029741513775662
13240, , ,26,inbound,forward facing back of sidewalk,sidewalk, ,1448366.957350753480569,554147.022804158274084
13250, , ,26,outbound,forward facing edge of pavement, , ,1448396.009129917016253,554216.007574323331937
13280, , ,43,outbound,forward facing back of sidewalk,sidewalk, ,1443889.002723999088630,495029.137759341276251
13300, , ,43,outbound,forward facing back of sidewalk,sidewalk, ,1444089.019056253600866,494543.088862662203610
13310, , ,43,outbound,forward facing back of sidewalk,sidewalk, ,1444619.031447674380615,493689.048904081690125
13630, , ,26,outbound,forward facing edge of pavement, , ,1449090.122243009740487,556011.129640247789212
13640,Bench, ,26,inbound,forward facing back of sidewalk,sidewalk, ,1449087.970344417262822,556055.942870842758566
13660, , ,3,inbound,forward facing edge of pavement,sidewalk, ,1440412.955214180983603,555945.880098824738525
13770, ,Shelter,6,outbound,forward facing back of curb,sidewalk, ,1451910.784580670529976,537018.404502412769943
13810,Bench, ,"27, 9",outbound,forward facing back of sidewalk,sidewalk,transfer point,1452996.031097834929824,539491.074097739183344
13811, , ,"27, 9", , , , ,1452712.021495261462405,538815.260160671197809
13870,Bench, ,"21, 3",outbound,forward facing back of sidewalk,sidewalk, ,1451809.937997587257996,554301.890276588499546
13910, ,Shelter,3,outbound,forward facing back of curb,sidewalk, ,1446035.889834424247965,555768.863392490078695
13930, , ,3,outbound,forward facing back of sidewalk,sidewalk, ,1444627.074738672235981,555644.902026237337850
14040, , ,40x,inbound,forward facing back of curb, , ,1487016.084776750300080,531412.137171655776910
14050, , ,40x,outbound,forward facing back of sidewalk,sidewalk, ,1487270.927114836173132,531238.106351737631485
14055, , ,40x,inbound,forward facing edge of pavement, , ,1488773.060921584023163,530570.079144499730319
14060, , ,40x,outbound,forward facing edge of pavement, , ,1488605.362110005458817,530565.690701832412742
14070, , ,40x,outbound,forward facing back of sidewalk,sidewalk, ,1489892.032765006413683,530013.912605923367664
14080, , ,40x,inbound,forward facing edge of pavement, , ,1489824.040446929633617,530091.157858247635886
14090, , ,40x,inbound,forward facing back of sidewalk,sidewalk, ,1491132.183499926701188,528959.947194169508293
14100, , ,40x,outbound,forward facing back of sidewalk,sidewalk, ,1491644.167384093860164,528548.949656576034613
14110, , ,40x,outbound,forward facing edge of pavement, , ,1494064.609065511496738,527869.835201165289618
14120, , ,40x,inbound,forward facing back of curb, , ,1495654.049784249858931,527028.139706075657159
14130, , ,40x,outbound,forward facing edge of pavement, , ,1495773.179139172891155,526899.079596747760661
14140, , ,40x,outbound,forward facing edge of pavement, , ,1497314.016608678037301,525052.948446498601697
14150, , ,40x,inbound,forward facing back of sidewalk,sidewalk, ,1497433.156134181423113,524994.145742581109516
14160, , ,40x,outbound,forward facing edge of pavement, , ,1499675.960375579074025,524141.970937747624703
14170, , ,40x,inbound,forward facing edge of pavement, , ,1499691.119794093072414,524154.819009161379654
14180, , ,40x,outbound,forward facing edge of pavement, , ,1501056.101644180249423,523842.085710732615553
14190, , ,40x,inbound,rear facing edge of pavement, , ,1501082.967732167569920,523858.013500407978427
14205, , ,40x,outbound,forward facing edge of pavement, , ,1503730.990323252743110,523206.810734569444321
14210, , ,40x,outbound,rear facing back of curb, , ,1504683.156069835415110,522401.030193905113265
14220, , ,40x,inbound,forward facing back of curb, , ,1504717.992286256980151,522393.168989168829285
14240,Bench, ,"3, 40x",outbound,forward facing back of sidewalk,sidewalk, ,1485456.900231083855033,532369.167737908195704
14260,Bench, ,10,outbound,forward facing back of curb,sidewalk, ,1427062.952386670047417,536696.115120748523623
14270, ,Shelter,10,outbound,forward facing back of curb,sidewalk, ,1427272.144881671294570,536111.838402160094120
14335,Bench, ,8,outbound,forward facing back of sidewalk,sidewalk, ,1421672.389020839240402,549823.749626590288244
14340,Bench, ,8,outbound,forward facing back of curb, , ,1421397.047708013327792,549089.082132652285509
14610, , ,29,not applicable,forward facing back of sidewalk,sidewalk, ,1483289.081075927009806,576080.938253834960051
14630, , ,29,not applicable,forward facing back of curb, , ,1482643.358942171325907,576227.625296425656416
14635,Bench, ,29,not applicable,forward facing back of sidewalk,sidewalk, ,1483171.661691345507279,576122.300703912973404
14640, , ,29,not applicable,rear facing back of sidewalk,sidewalk, ,1484215.932896756799892,575340.041441668989137
14650, , ,29,not applicable,forward facing back of curb,sidewalk, ,1485044.843312417622656,574729.008214912260883
14700, , ,29,not applicable,rear facing back of curb,sidewalk, ,1485445.116462001111358,571202.848272498231381
14710, , ,29, , , , ,1485759.995425423374400,571705.893198180245236
14870, , ,39,inbound,forward facing back of sidewalk,sidewalk, ,1462666.046534677967429,529124.668977579683997
14880, , ,39,inbound,forward facing back of sidewalk,sidewalk, ,1462576.169745929306373,529425.143442244268954
15000, , ,"221, 40x, 46x, 9",outbound,forward facing back of curb,sidewalk,transfer point,1478436.266634591156617,533491.738983573159203
15150, , ,13,inbound,forward facing edge of pavement, , ,1441838.002889001043513,564424.145294494344853
15160, , ,13,not applicable,forward facing edge of pavement, , ,1442487.960250505013391,564561.148957500234246
15210, , ,13,inbound,forward facing edge of pavement, , ,1441169.187953671440482,566087.920838326099329
15310,Bench, ,3,outbound,forward facing back of sidewalk,sidewalk, ,1477514.057192927924916,547460.136571678449400
15320, , ,3,outbound,forward facing back of sidewalk,sidewalk, ,1477855.127376921474934,546936.878431828808971
15360, , ,3,outbound,forward facing back of sidewalk,sidewalk, ,1478042.024640923133120,546646.024682822637260
15370, , ,3,inbound,forward facing back of sidewalk,sidewalk, ,1478151.056575095979497,546562.932001251261681
15390, , ,3,outbound,forward facing back of sidewalk,sidewalk, ,1478391.934046096168458,546148.825217909645289
15400, ,Shelter,3,inbound,forward facing back of sidewalk,sidewalk,transfer point,1478769.009079342707992,546023.890756505425088
15440, , ,3,outbound,forward facing back of sidewalk,sidewalk,transfer point,1479167.995814165566117,545956.087742503965273
15480,Bench, ,"29, 3",outbound,forward facing back of sidewalk,sidewalk, ,1480331.059104837942868,545760.587149253347889
15500, ,Shelter,"29, 3",inbound,forward facing back of sidewalk,sidewalk, ,1480737.972333005396649,545769.834506095503457
15510, ,Shelter,3,not applicable,forward facing back of sidewalk,sidewalk, ,1481326.099765679100528,545639.051959266304038
15760, , ,27,outbound,forward facing back of sidewalk,sidewalk,transfer point,1459796.897745421854779,534213.878287335624918
15770,Bench, ,27,inbound,forward facing back of sidewalk,sidewalk,transfer point,1459816.117851337650791,534252.112134751281701
